,geo,geo.group
0,1,2
1,2,1
2,3,1
3,4,2
4,5,1
5,6,2
6,7,2
7,8,1
8,9,2
9,10,1
10,11,1
11,12,2
12,13,1
13,14,2
14,15,2
15,16,1
16,17,1
17,18,2
18,19,1
19,20,2
20,21,1
21,22,2
22,23,1
23,24,2
24,25,2
25,26,1
26,27,2
27,28,1
28,29,1
29,30,2
30,31,2
31,32,1
32,33,2
33,34,1
34,35,2
35,36,1
36,37,1
37,38,2
38,39,1
39,40,2
40,41,1
41,42,2
42,43,2
43,44,1
44,45,1
45,46,2
46,47,1
47,48,2
48,49,2
49,50,1
50,51,2
51,52,1
52,53,2
53,54,1
54,55,2
55,56,1
56,57,2
57,58,1
58,59,2
59,60,1
60,61,2
61,62,1
62,63,1
63,64,2
64,66,1
65,65,2
66,67,2
67,68,1
68,69,1
69,70,2
70,71,2
71,72,1
72,73,2
73,74,1
74,75,2
75,76,1
76,77,2
77,78,1
78,79,2
79,80,1
80,81,2
81,82,1
82,83,2
83,84,1
84,85,2
85,86,1
86,87,1
87,88,2
88,89,1
89,90,2
90,91,1
91,92,2
92,93,2
93,94,1
94,95,1
95,96,2
96,97,1
97,98,2
98,99,2
99,100,1
